retailer,product_name,brand,unit_weight_text,price,currency,was_promo,discount_percent,observed_at
ebag,3D Eyelashes AURA No 023 Story,Aura,1 pcs,9.49,BGN,0,0.0,2026-08-31 13:01:33.052311
ebag,3D Eyelashes AURA No 023 Story,Aura,1 pcs,9.49,BGN,0,0.0,2026-09-01 09:58:02.090589
ebag,3D Eyelashes AURA No 023 Story,Aura,1 pcs,9.49,BGN,0,0.0,2026-09-04 11:31:12.283258
ebag,3D Eyelashes AURA No 026 Boomerang,Aura,1 pcs,9.49,BGN,0,0.0,2026-08-31 13:01:33.806191
ebag,3D Eyelashes AURA No 026 Boomerang,Aura,1 pcs,9.49,BGN,0,0.0,2026-09-01 09:58:02.567614
ebag,3D Eyelashes AURA No 026 Boomerang,Aura,1 pcs,9.49,BGN,0,0.0,2026-09-04 11:31:12.872690
ebag,7 Days Mini Croissants Cocoa Cream,7 Days,300 g,6.43,BGN,0,0.0,2026-08-31 12:57:08.902578
ebag,7 Days Mini Croissants Cocoa Cream,7 Days,300 g,6.43,BGN,0,0.0,2026-09-01 09:53:03.395225
ebag,7 Days Mini Croissants Cocoa Cream,7 Days,300 g,6.43,BGN,0,0.0,2026-09-04 11:24:50.954320
ebag,7 Days Mini Croissants Mille-feuille,7 Days,300 g,6.43,BGN,0,0.0,2026-08-31 12:57:15.005440
ebag,7 Days Mini Croissants Mille-feuille,7 Days,300 g,6.43,BGN,0,0.0,2026-09-01 09:53:07.977922
ebag,911 Венолгон Масажен Гел-балсам,ВЕНОЛГОН,1 pcs,10.42,BGN,0,0.0,2026-08-31 13:07:40.470097
ebag,911 Венолгон Масажен Гел-балсам,ВЕНОЛГОН,1 pcs,10.42,BGN,0,0.0,2026-09-01 10:03:52.287934
ebag,911 Венолгон Масажен Гел-балсам,ВЕНОЛГОН,1 pcs,10.42,BGN,0,0.0,2026-09-04 11:38:37.817955
ebag,911 Живокост Гел При Ставни Заболявания 100 Мл,911,1 pcs,9.99,BGN,0,0.0,2026-08-31 13:08:03.446747
ebag,911 Живокост Гел При Ставни Заболявания 100 Мл,911,1 pcs,9.99,BGN,0,0.0,2026-09-01 10:04:02.391468
ebag,911 Живокост Гел При Ставни Заболявания 100 Мл,911,1 pcs,9.99,BGN,0,0.0,2026-09-04 11:38:48.321727
ebag,911 Мравчена Киселина И Окопник Масажен Гел-балсам,OCOPNIK,1 pcs,9.19,BGN,0,0.0,2026-08-31 13:07:45.045750
ebag,911 Мравчена Киселина И Окопник Масажен Гел-балсам,OCOPNIK,1 pcs,9.19,BGN,0,0.0,2026-09-01 10:03:54.598832
ebag,911 Мравчена Киселина И Окопник Масажен Гел-балсам,OCOPNIK,1 pcs,9.19,BGN,0,0.0,2026-09-04 11:38:39.908894
ebag,911 Окопник Масажен Гел-балсам,OCOPNIK,1 pcs,9.09,BGN,0,0.0,2026-08-31 13:07:30.034788
ebag,911 Окопник Масажен Гел-балсам,OCOPNIK,1 pcs,9.09,BGN,0,0.0,2026-09-01 10:03:46.590863
ebag,911 Окопник Масажен Гел-балсам,OCOPNIK,1 pcs,9.09,BGN,0,0.0,2026-09-04 11:38:34.055724
ebag,911 Пчелна Отрова Масажен Гел-балсам,911,1 pcs,10.09,BGN,0,0.0,2026-08-31 13:07:35.188906
ebag,911 Пчелна Отрова Масажен Гел-балсам,911,1 pcs,10.09,BGN,0,0.0,2026-09-01 10:03:49.277768
ebag,911 Пчелна Отрова Масажен Гел-балсам,911,1 pcs,10.09,BGN,0,0.0,2026-09-04 11:38:35.621638
ebag,911 Ревмалгон Гел За Стави И Мускули 100 Мл,911,1 pcs,9.39,BGN,0,0.0,2026-08-31 13:07:45.055164
ebag,911 Ревмалгон Гел За Стави И Мускули 100 Мл,911,1 pcs,9.39,BGN,0,0.0,2026-09-01 10:03:54.603223
ebag,911 Ревмалгон Гел За Стави И Мускули 100 Мл,911,1 pcs,9.39,BGN,0,0.0,2026-09-04 11:38:39.912879
ebag,911 Травмалгон Гел За Стави И Синини 100 Мл,911,1 pcs,7.1,BGN,0,0.0,2026-08-31 13:08:03.454849
ebag,911 Травмалгон Гел За Стави И Синини 100 Мл,911,1 pcs,7.1,BGN,0,0.0,2026-09-01 10:04:02.394764
ebag,911 Травмалгон Гел За Стави И Синини 100 Мл,911,1 pcs,7.1,BGN,0,0.0,2026-09-04 11:38:48.325694
ebag,A-derma Biology A-r Дерматологична Грижа Срещу Зачервявания 40ml,A-DERMA,1 pcs,38.59,BGN,0,0.0,2026-08-31 13:08:03.462639
ebag,A-derma Biology A-r Дерматологична Грижа Срещу Зачервявания 40ml,A-DERMA,1 pcs,26.97,BGN,1,30.0,2026-09-01 10:04:01.461958
ebag,A-derma Biology A-r Дерматологична Грижа Срещу Зачервявания 40ml,A-DERMA,1 pcs,26.97,BGN,1,30.0,2026-09-04 11:38:47.212053
ebag,A-derma Biology Ac Нощен Пилинг-серум Против Несъвършенства 30мл,A-DERMA,1 pcs,47.19,BGN,0,0.0,2026-08-31 13:07:40.477819
ebag,A-derma Biology Ac Нощен Пилинг-серум Против Несъвършенства 30мл,A-DERMA,1 pcs,32.96,BGN,1,30.0,2026-09-01 10:03:42.551363
ebag,A-derma Biology Ac Нощен Пилинг-серум Против Несъвършенства 30мл,A-DERMA,1 pcs,32.96,BGN,1,30.0,2026-09-04 11:38:29.209728
ebag,A-derma Biology Energy C Озаряващ Бустер Серум 30мл,A-DERMA,1 pcs,55.49,BGN,0,0.0,2026-08-31 13:07:45.068365
ebag,A-derma Biology Energy C Озаряващ Бустер Серум 30мл,A-DERMA,1 pcs,38.82,BGN,1,30.0,2026-09-01 10:03:42.716037
ebag,A-derma Biology Energy C Озаряващ Бустер Серум 30мл,A-DERMA,1 pcs,38.82,BGN,1,30.0,2026-09-04 11:38:29.492244
ebag,A-derma Biology Дерматологична Мицеларна Вода 400мл,A-DERMA,1 pcs,28.59,BGN,0,0.0,2026-08-31 13:07:31.831706
ebag,A-derma Biology Дерматологична Мицеларна Вода 400мл,A-DERMA,1 pcs,19.93,BGN,1,30.0,2026-09-01 10:03:42.277947
ebag,A-derma Biology Дерматологична Мицеларна Вода 400мл,A-DERMA,1 pcs,19.93,BGN,1,30.0,2026-09-04 11:38:47.153059
ebag,A-derma Biology-ak Перфект Флуид Срещу Несъвършенства 40мл,A-DERMA,1 pcs,38.78,BGN,0,0.0,2026-08-31 13:08:03.471000
ebag,A-derma Biology-ak Перфект Флуид Срещу Несъвършенства 40мл,A-DERMA,1 pcs,27.09,BGN,1,30.0,2026-09-01 10:04:01.465335
ebag,A-derma Biology-ak Перфект Флуид Срещу Несъвършенства 40мл,A-DERMA,1 pcs,27.09,BGN,1,30.0,2026-09-04 11:38:47.215572
ebag,A-derma Cutalgan Успокояващ Спрей 100ml,A-DERMA,1 pcs,29.59,BGN,0,0.0,2026-08-31 13:07:35.197679
ebag,A-derma Cutalgan Успокояващ Спрей 100ml,A-DERMA,1 pcs,29.59,BGN,0,0.0,2026-09-01 10:03:49.282044
ebag,A-derma Cutalgan Успокояващ Спрей 100ml,A-DERMA,1 pcs,29.59,BGN,0,0.0,2026-09-04 11:38:35.625136
ebag,A-derma Cytelium Подсушаващ Лосион 100мл,A-DERMA,1 pcs,27.19,BGN,0,0.0,2026-08-31 13:07:45.077176
ebag,A-derma Cytelium Подсушаващ Лосион 100мл,A-DERMA,1 pcs,27.19,BGN,0,0.0,2026-09-01 10:03:54.607381
ebag,A-derma Cytelium Подсушаващ Лосион 100мл,A-DERMA,1 pcs,27.19,BGN,0,0.0,2026-09-04 11:38:39.916688
ebag,A-derma Cytelium Подсушаващ Спрей 100мл,A-DERMA,1 pcs,28.59,BGN,0,0.0,2026-08-31 13:08:02.359904
ebag,A-derma Cytelium Подсушаващ Спрей 100мл,A-DERMA,1 pcs,28.59,BGN,0,0.0,2026-09-01 10:04:01.789800
ebag,A-derma Cytelium Подсушаващ Спрей 100мл,A-DERMA,1 pcs,28.59,BGN,0,0.0,2026-09-04 11:38:47.669186
ebag,A-derma Dermalibour+ Barrier Изолиращ Крем 100ml,A-DERMA,1 pcs,33.89,BGN,0,0.0,2026-08-31 13:07:45.085796
ebag,A-derma Dermalibour+ Barrier Изолиращ Крем 100ml,A-DERMA,1 pcs,33.89,BGN,0,0.0,2026-09-01 10:03:54.610786
ebag,A-derma Dermalibour+ Barrier Изолиращ Крем 100ml,A-DERMA,1 pcs,33.89,BGN,0,0.0,2026-09-04 11:38:37.821338
ebag,A-derma Dermalibour+ Cica Baume Levres Reparateur Дермалибур+ Цика Възстановяващ Балсам За Устни 15m,A-DERMA,1 pcs,19.28,BGN,0,0.0,2026-08-31 13:07:45.093606
ebag,A-derma Dermalibour+ Cica Baume Levres Reparateur Дермалибур+ Цика Възстановяващ Балсам За Устни 15m,A-DERMA,1 pcs,19.28,BGN,0,0.0,2026-09-01 10:03:54.614520
